Timestamp,Animal,Count
2025-10-10 00:38:05,Penguin,1
2025-10-10 00:38:06,Penguin,1
2025-10-10 00:38:06,Penguin,1
2025-10-10 00:38:06,Penguin,1
2025-10-10 00:38:06,Penguin,1
2025-10-10 00:38:07,Penguin,2
2025-10-10 00:38:07,Penguin,1
2025-10-10 00:38:07,Penguin,1
2025-10-10 00:38:07,Penguin,1
2025-10-10 00:38:07,Penguin,1
2025-10-10 00:38:08,Penguin,1
2025-10-10 00:38:08,Penguin,1
2025-10-10 00:38:08,Penguin,2
2025-10-10 00:38:08,Penguin,1
2025-10-10 00:38:09,Penguin,1
2025-10-10 00:38:09,Penguin,1
2025-10-10 00:38:09,Penguin,1
2025-10-10 00:38:09,Penguin,1
2025-10-10 00:38:09,Penguin,1
2025-10-10 00:38:10,Penguin,1
2025-10-10 00:38:10,Penguin,1
2025-10-10 00:38:10,Penguin,1
2025-10-10 00:38:10,Penguin,1
2025-10-10 00:38:10,Penguin,1
2025-10-10 00:38:11,Penguin,1
2025-10-10 00:38:11,Penguin,1
2025-10-10 00:38:11,Penguin,1
2025-10-10 00:38:11,Rabbit,1
2025-10-10 00:38:11,Penguin,2
2025-10-10 00:38:11,Penguin,1
2025-10-10 00:38:12,Penguin,1
2025-10-10 00:38:12,Monkey,1
2025-10-10 00:38:12,Monkey,1
2025-10-10 00:38:12,Monkey,1
2025-10-10 00:38:12,Monkey,1
2025-10-10 00:38:13,Monkey,1
2025-10-10 00:38:13,Monkey,1
2025-10-10 00:38:13,Monkey,1
2025-10-10 00:38:13,Monkey,1
2025-10-10 00:38:13,Monkey,1
2025-10-10 00:38:14,Penguin,1
2025-10-10 00:38:14,Monkey,1
2025-10-10 00:38:14,Monkey,1
2025-10-10 00:38:14,Monkey,1
2025-10-10 00:38:15,Monkey,1
2025-10-10 00:38:15,Monkey,1
2025-10-10 00:38:16,Penguin,1
2025-10-10 00:38:17,Penguin,2
2025-10-10 00:38:18,Monkey,1
2025-10-10 00:38:18,Monkey,1
2025-10-10 00:38:18,Monkey,1
2025-10-10 00:38:19,Monkey,1
2025-10-10 00:38:19,Monkey,1
2025-10-10 00:38:20,Monkey,1
2025-10-10 00:38:20,Monkey,1
2025-10-10 00:38:20,Monkey,1
2025-10-10 00:38:21,Monkey,1
2025-10-10 00:38:21,Monkey,1
2025-10-10 00:38:22,Monkey,1
2025-10-10 00:38:22,Monkey,1
2025-10-10 00:38:22,Monkey,1
2025-10-10 00:38:22,Penguin,1
2025-10-10 00:38:23,Penguin,1
2025-10-10 00:38:23,Penguin,1
2025-10-10 00:38:24,Monkey,1
2025-10-10 00:38:24,Penguin,1
2025-10-10 00:38:25,Penguin,2
